Content,aspect_labels,sentiment_scores
brought my 8yearold and 2yearold cats for exams first time i brought two cats at once staff was welcoming and wait was little dr danowitz was as always extremely friendly to me and to the cats the hospital had a promotion in october for free exam for new patients so one of my boys was no charge the cats were allowed to wander around the office and the atmosphere was comfortable and friendly if you are seeking a compassionate doctor who provides you with the information you need and treats your furry family members like his own dr danowitz is your doctor i went to the lakewood office on october 16 2017,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i have used this vet twice both during emergencies when i needed a vet on a sunday  they were accommodating kind professional and knowledgeable in one instance they helped  me make the tough decision to put my seriously ill dog down and in another they helped my dog when she was ill both times they followed up with me my regular vet did not do so wish i lived closer so they would be my regular vet i highly recommend them,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i transferred my dogs records from two previous veterinarians  without having accurate records from one of them my dog was vaccinated with shots not due until two years from now and did not get the shots he was due  then i was told it was my fault  luckily my dog is okay but i wont return,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr gottlieb is an excellent veterinarian  he really helped my turtle and answered all my questions  he gave me many recommendations on how to improve the turtles environment and diet and he took the time to give me an estimate on a procedure for another turtle,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ocvh is the only place i would take my pet  dr danowitz is second to none  i believe the reason my diabetic cat lived to age 15 is because of the exceptional care from dr danowitz  i now have a 7 year old cat and she is healthy and happy  perhaps she is a bit thick but she doesnt always want to stay on her prescribed diet planthe staff is pleasant and professional the facility is clean  you are greeted at your appointment time  everyone wants  to make your pet comfortable during the visit  it is my pleasure to recommend ocvh to all pet owners,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
for the 2nd time in 3 years this veterinary group saved one of my dogs lives  i was at their lakewood office when a tumor on the spleen was discovered via an x ray and ultra sound and our airedale was bleeding out  stomach filling with blood from the ruptured tumor on spleen  within minutes he was being prepared for surgery to remove the spleen  because of their preparedness to do surgery so quickly harry lived  had he been at any other  practice he may have very well not made it had they not been prepared to do emergency surgery and had to send us elsewhere  my family and i will be forever grateful to dr danowitz and to the surgeon dr koenigstein of ocean county veterinary hospital for saving our boy harry chrismas   we love you all,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
my collies love ocean county vet hop the staff the doc are just awesome  the take the time to talk to you  about your needs for your furry babies thanks for taking such pawsome care of ki ki and mae mae and they also make sure any meds that they give to the girls or good for collies since collies have the mdr gene and some meds can kill them,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
when i moved i was so worried i would never find a veterinary clinic i was as comfortable and confident with in my old home my fears were put to rest when i first went to ocean county veterinary clinic i have brought my boys to see most of the vets there at this time and i have never been disappointed  i recommend ocv for all your animals needs ,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excellent service i used to take my pup to a pet store and felt like o had to constantly explain nel is an abused shelter dog they places embarrassed me so bad ocvh was so understanding and helpful they answered all my questions so respectful,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
words cannot do justice to the way my daughter and i felt about our experience at the ocean county veterinarian hospital  from the initial call to the generous amount of time given to us by the vet everything was wonderful  we felt like dr crawford truly cared about our bunny and truly cared about us  he took the time to thoroughly examine our rabbit and then explained in lengthy detail the situation   dr crawford then taught us how to feed our rabbit with a syringe and allowed us to try to do it ourselves  his warm personality and expert knowledge gave us so much reassurance and confidence  i cannot thank him and the staff enough for saving our rabbit and putting a smile back on my worries daughters face   i have already recommended this wonderful vet to others as we were so impressed with it thank you so much,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i brought my bunny here recently and my experience was fantastic everyone i encountered was extremely friendly the doctor was very knowledgable and informed me of everything i needed to know and provided informational papers as well ill be back with my bunny soon,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
the ocean county veterinarian clinic cares about making sure your animals are healthy they are a pleasant and informative group who help guide you and making important decisions for your animals  they also have great grooming and all around support,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
we have small parrots conures and have been using ocvh for over 14 years now  the doctors are knowledgeable and really care about the health of their patients  the staff is pleasant and very cordial and they really like animals,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i was very happy with the care that peanut received as he had a mass removed from his abdomen pathology report stated it was cancerous so i am happy with the decision that  was made to remove it thank you dr iaquinto for the excellent care you provided,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
favorite veterinary hospital i have a great vet there that i take my cat to ross gottlieb who is awesome with my cat and i have several that i will bring there as needed very pleased and comfortable there highly recommend this facility i use the lakewood facility which is immaculate everyone there is very pleasant customer client service is top notch i love them so much so that i want to work there great place,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
although i am in north jersey primarily we have used them on a few occasions over the summer we had a very sick chihuahua and they were fantastic with her saved her life basically they also carry the rx food we use for aging dogs with heart issues i would recommend them to anyone,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
im new to the area and the staff fit me in to have my dog examined as she was limping  vet was super friendly professional and spent the required time with us  no rushing  she answered all questions and took her time  i would recommend this facility and will continue to frequent there,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
very friendly staff dr konickstine not sure if this is the right spelling sorry  was great  she explained everything and helped me be reasonable with options for an elderly kittie i just adopted  would highly recommend,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
the vet and vet tech could not have been nicer and more professional however it was somewhat of an emergency and i was told by a very formal receptionist who got her locations confused anyway the next appointment was 5 hours away i chose this vet because if i did have an emergency it was close the receptionist only offered going over the the lakewoodbrick office finally she relented and let me pay the emergency 50 fee to come in i understand procedure is procedure rules are rules etc but the tone and officious attitude got me very close to changing vets i am still somewhat annoyed an update within a few minutes of this posting i received a call from ocvh apologizing for the actions of their employee and promising to look into it further that made me feel much better and is the level of service normally associated with this clinic thank you,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
a very fine establishment doctors and nurses were very kind and helpful a bit more expensive than usual had to pay an extra 50 for an emergency appointment place is clean and professional,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
we were away from home and not sure what vet to go tobut luckily we picked an excellent one and the staff was also great they were so caring with my family member he was taken care of with gentleness and kindness and professionalism thank you so much,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
having moved from north jersey and leaving a vet i have been taking my pets to for 30 years i had some trepidation about starting over with new vets there was no need for concern because i found the right place my dog and i love dr gottlieb and feel hes concerned about her and very capable of caring for her needs,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excellent service  doctor is available for any questions after the visit  docotor called me back quickly and never rushed me when i had any questions  thanks for your caring compassionate interest in my pet ,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
only problem i had was with the medication that was prescribed to my dog was way overpriced they were charging me 75 dollars a month and when i asked if they could send the prescription to the pharmacy i only had to pay 7 this was after months of paying the outrageous overcharge besides that the staff was friendly and it is a clean facility,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr danowitz and the entire staff make me and my animals feel welcome and loved every time we come whether its for a yearly check up or a sick visit  for my doberman duke dr danowitz got right on the floor with himand when i had to put my cat to sleep they comforted my cat and myself  i cant say enough great stuff about them,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i have a 4 month old black lab puppy that i believed to have a urinary tract infection i called and they were very kind and they were able to get me in the same day they have late hours so it was perfect for me to go after work that evening the receptionists were very kind and made my puppy feel comfortable when we were in the exam room the assistant which im assuming is a vet tech was so kind and friendly she was very knowledgeable and made us feel like we were in good hands when the doctor came in he was very understanding and did whatever he could to help us resolve her issue just a very overall great experience this was our first visit to a vet since we adopted our puppy and i would definitely recommend this practice to friends and family,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i have been going to ocvh for many years for all my dogs present and past  i can only think of one incident that occurred many years ago when the vet i used for all my dogs was not in  my beagle was in extreme distress caused by a blocked bladder and was crying in pain  the vet that handled the case took all her time diagnosing him and since the dog was quite old and had many other problems and was not able to walk  i chose to have him euthanized but she suggested surgery to resolve the blockage  i still remember that day and the extreme coldness on the part of the vet and swore to never have her treat any other dog of mine  out side of that  i have always been very pleased with the way my pets have been treated  the one thing that bothered me was that i recently realized that the vet was still part of the staff,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr danowitz and his staff was so friendly professional and nice very gentle with our little kitty lots of advice and information already recommended them to my friends and family,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
absolutely love the staff  dr perlman is kind compassionate and very thorough the prices are really high compared to most offices around here but i wont switch because of the doctors and techs,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
we loved dr gottlieb he didnt tried to push anything on us or rush us into a decision on our bearded dragon the office staff was wonderful even told me about a coupon for the 1st free exam i highly recommend this place,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
a very professional vet practice i use the lakewood office i have a bird and have visited there twice already both times very positive and very happy with the doctors also i had to board the bird for a week excellent care and daily pictures helped me through missing her cannot say enough excellent things about this experience,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i can always get an appointment for my dog or cats promptly  everyone there is caring and professional when it comes to dealing with either well being checks or emergencies,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
nala and i had a great experience at your veterinary hospital the staff was very helpful and friendly they made me feel real comfortable leaving my nala in their hands i would recommend your hospital to all my family and friends keep up the great work guys,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
awesome place  the doctors and technicians are great  we had such a positive experience every time we came  we did the k laser treatment for our westie  and they were wonderful,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i highly recommend this veterinary hospital because they treated my pet like their owni have peace of mind every time i am out of town that my zoey is being taken care of,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
our dog recently had surgery and it could not have gone better the staff were all friendly and showed compassion for our little furry friend they checked in with us post surgery and expressed their concern for how he was doing i love taking my dog to ocvh because i know theyll do a great job no matter what,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i got charged for a office visit in which they never looked at my cat just asked what was wrong with her and i told them she had like clogs of matted fur that need to be cut off or shaved off  and they didnt do such a good job as before and my cat was in pain cause of how they shaved her i will never let them shave her again the people were nice and all but i felt i shouldnt have been charged 6900 for the visit,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i have always had a great experience with the doctors especially dr danowitz  last night my dog had an emergency and dr weiner went out of his way to make sure we found the best overnight facility he made phone calls and spoke to the doctors and reassured us that my dog would be taken care of all is well today thank you dr weiner,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i use ocean county veterinary for 11 years when i had my previous dog she was a papillon and the care and services from the staff was awesome  when me and my son decide it was time to get another puppy i use a local vet near my house  will that was a big mistake to do so i decided to bring my puppy here when he was not feeling to well  the 25 mins plus drive is well worth it  excellent care ,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr crawford and his staff were amazing taking care of our dog casey in an emergency situation  they were quick caring and very sympathetic to our needs  thank you so much,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i got charged for a office visit in which they never looked at my cat just asked what was wrong with her and i told them she had like clogs of matted fur that need to be cut off or shaved off  and they didnt do such a good job as before and my cat was in pain cause of how they shaved her i will never let them shave her again the people were nice and all but i felt i shouldnt have been charged 6900 for the visit,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
doctor was good but very expensive and they charged me twice in a month for doctor visit when i took my cat the second time only to finish the vaccine they charge unnecessarily and it was not fair,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
great care if you want to be treated with courtesy and respect and want to be confident that your pet will be treated with courtesy and respect also make ocean county vet hosp your first and only choice  they care for your animals and care about them as well,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
doctor was good but very expensive and they charged me twice in a month for doctor visit when i took my cat the second time only to finish the vaccine they charge unnecessarily and it was not fair,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
have been using ocvh for over 30 years  pleasant staff and now that they have extended their hours pretty easy to get an appointment that fits your schedule dr briggs and dr dannowicz are awesome,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
the doctors are kind take the time to really listen and are compassionate  all youd want in a vet  i highly recommend this team of doctors switched from a previous vet and will never regret the move,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
honestly its always a pleasure coming here you guys treat our animals as family and always go above and beyond to take care of them,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
always able to get us an aplointment all the vets and techs there are very good with both out girls even when i requested a document to be faxed recently they were on top of it and sent it immediately,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
the staff was very friendly  the veterinarian was very informative and patient  i wasnt pressured into tests or additional products as i have in past at other vets,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i would not trust my little girl with any other veterinary they took such good care of her very professional the whole staffspecial thanks to dr cosgrovecorina says thank you,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i have been bring my 2 dogs for treatment and yearly well visits for the past 8 years  they are available when you need to bring you pets for treatment and return calls if you have questions   i would recommend them to my family and friends,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr was very nice to xplsined everything to me with cost before doing anything he was very concerned about cuddles condition he called me monday morning when he got results of the xray which i thought was nice,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
doctor danowitz is by far the best he spends the extra time answering all our questions and making sure we are comfortable,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
just this week brought my dog in for teeth cleaning hes been seen by vets there for the 3 years ive had him never once during an exam did vet say he needed teeth cleaning i was the one who expressed my concern fast forward12 teeth taken out cost outrageous i expressed that i needed to pick him up close to 3 so that i could make it to work sat in parking lot till 5  other then  not sure they care,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i have 5 pets and they are all well cared for by ocvh  every veterinarian that has taken care of my pets is always well informed and keeps in touch with me as to the care of my pets and any illness they may have  if i need to call they will call back  i have had a couple of instances of ill pets that have been taken care of very welli do like that they have multiple offices and the availability of multiple vets if particular vets are not available that day for my pets to see  they do make every attempt to make sure you get the vet you want to see  their hours are great and 7 days a week most important they take me right in when i have an emergency,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
honest and gracious are those that work at this hospital id recconmend everyone come and check out their services,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
we love going to ocvh our cat is always treated with kindness dr wiener always knows the best solution to help her and always puts us at ease,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
we absolutely love ocvh we have been going there for years and have always been happy with our experience dr briggs is the best he has so much knowledge and is always willing to educate us on the health of our dog we are truly grateful for dr briggs and ocvh,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
wonderful and caring staff and doctors  they have helped keep our pets healthy and have saved their lives  i especially love dr koenigstien and dr crawford  they are so caring and realistic about our multiple cat home,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
wonderful staff  doctors  they took care of our baby with compassion  professionalism  this is why they are our vets,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
was a pleasure dealing with the lakewood office for my horrific ordeal of fleas on my indoor cat  clean facility friendly helpful staff,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
